Users,Avg (ms),Median (ms),p95 (ms),p99 (ms),Max (ms),Req/s,Failures,Total,Error %,SLA Viol %
10,106.18554954538811,33.0,510,1400,2890.1252079995174,7.419991491926201,0,882,0.0,0.0
25,78.97861142278033,24.0,300,1300,2973.9479159979965,18.690264604012945,0,2233,0.0,0.0
50,286.2300543730068,27.0,2000,4400,7594.024042002275,32.40242705554513,0,3874,0.0,3.125
100,405.45199816558153,54.0,2000,5500,7892.191249997268,58.60288017344287,0,7011,0.0,3.8461538461538396
200,20778.867805439808,14000.0,63000,79000,80770.06074999736,7.100254425748561,0,848,0.0,100.0
