Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/category?category=[id]&page=[n],3470,0,50,422.7134603296609,12.385582998831524,7033.510290999402,118293.84899135446,29.004706062166132,0.0,50,150,300,450,1100,2300,4800,5400,6200,7000,7000
GET,/tools.descartes.teastore.webui/home,1404,0,21,230.37208603421203,4.883915997197619,4926.081041998259,8905.0,11.735621703539266,0.0,21,79,160,250,610,1100,2200,3900,4800,4900,4900
GET,/tools.descartes.teastore.webui/product?id=[id],2137,0,87,492.4500903149019,19.572000001062406,7892.191249997268,132029.87646233037,17.86255240773747,0.0,87,190,380,590,1400,2300,5200,6200,7500,7900,7900
,Aggregated,7011,0,54,405.45199816558153,4.883915997197619,7892.191249997268,100574.82841249465,58.60288017344287,0.0,54,150,290,420,1100,2000,4600,5500,6700,7900,7900
