Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/category?category=[id]&page=[n],458,0,16000.0,18335.444470349295,17.859999999927823,53529.69791700161,118152.72052401747,3.834807225227407,0.0,16000,27000,30000,31000,39000,42000,44000,45000,54000,54000,54000
GET,/tools.descartes.teastore.webui/home,181,0,7500.0,9619.28831774033,8.363207998627331,30746.67629200121,8905.0,1.5155024187034076,0.0,7500,12000,16000,17000,22000,23000,29000,30000,31000,31000,31000
GET,/tools.descartes.teastore.webui/product?id=[id],209,0,38000.0,35797.87151235398,39.62620799939032,80770.06074999736,131774.72248803827,1.749944781817747,0.0,38000,58000,60000,63000,74000,79000,79000,80000,81000,81000,81000
,Aggregated,848,0,14000.0,20778.867805439808,8.363207998627331,80770.06074999736,98191.82547169812,7.100254425748561,0.0,14000,25000,31000,33000,56000,63000,76000,79000,81000,81000,81000
