Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/category?category=[id]&page=[n],2006,0,22,278.15782016401937,11.05995800025994,5007.414332998451,117573.88334995015,16.778334711776854,0.0,22,38,76,120,670,2100,3300,4000,5000,5000,5000
GET,/tools.descartes.teastore.webui/home,765,0,10,152.98135158562312,5.618957999104168,3186.627082999621,8905.0,6.3985174748301565,0.0,10,16,36,62,290,1200,2200,2500,3200,3200,3200
GET,/tools.descartes.teastore.webui/product?id=[id],1103,0,39,393.3272070979215,19.862541998008965,7594.024042002275,132604.69537624661,9.225574868938121,0.0,39,72,120,190,970,3100,4700,5500,6800,7600,7600
,Aggregated,3874,0,27,286.2300543730068,5.618957999104168,7594.024042002275,100394.55704697987,32.40242705554513,0.0,27,43,82,130,570,2000,3600,4400,6000,7600,7600
