Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771801909,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771801910,10,GET,/tools.descartes.teastore.webui/category?category=[id]&page=[n],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,530.3683749989432,533.0545903331464,530.3683749989432,541.1597919992346,106803.0
1771801910,10,GET,/tools.descartes.teastore.webui/home,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,321.382750000339,321.382750000339,321.382750000339,321.382750000339,8905.0
1771801910,10,GET,/tools.descartes.teastore.webui/product?id=[id],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,570.0,570.0055416673422,569.5371670008171,570.4381660034414,118014.66666666667
1771801910,10,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,10,0,530.0,522.9726917001244,321.382750000339,570.4381660034414,100376.7
1771801911,20,GET,/tools.descartes.teastore.webui/category?category=[id]&page=[n],0.000000,0.000000,330,330,330,330,330,330,330,330,330,330,330,10,0,530.0,419.837383200138,26.689415997680044,541.1597919992346,105346.0
1771801911,20,GET,/tools.descartes.teastore.webui/home,0.000000,0.000000,280,280,280,280,280,280,280,280,280,280,280,9,0,280.0,199.78853255492544,11.578416997508612,321.382750000339,8905.0
1771801911,20,GET,/tools.descartes.teastore.webui/product?id=[id],0.000000,0.000000,380,380,390,390,390,390,390,390,390,390,390,9,0,390.0,368.4572315554154,30.926999999792315,570.4381660034414,122482.33333333333
1771801911,20,,Aggregated,0.000000,0.000000,280,310,330,380,390,390,390,390,390,390,390,28,0,330.0,332.5923467498017,11.578416997508612,570.4381660034414,79855.21428571429
1771801912,30,GET,/tools.descartes.teastore.webui/category?category=[id]&page=[n],0.000000,0.000000,49,91,94,310,330,330,330,330,330,330,330,21,0,92,226.2342022856631,14.513833000819432,541.1597919992346,118362.71428571429
1771801912,30,GET,/tools.descartes.teastore.webui/home,0.000000,0.000000,97,230,280,280,280,280,280,280,280,280,280,13,0,97,145.39301292265569,7.338250001339475,321.382750000339,8905.0
1771801912,30,GET,/tools.descartes.teastore.webui/product?id=[id],0.000000,0.000000,110,120,380,380,390,390,390,390,390,390,390,18,0,110.0,221.96268977758234,23.405957999784732,570.4381660034414,129848.11111111111
1771801912,30,,Aggregated,0.000000,0.000000,91,110,280,280,330,380,390,390,390,390,390,52,0,100.0,204.54530446134484,7.338250001339475,570.4381660034414,94974.0
1771801913,40,GET,/tools.descartes.teastore.webui/category?category=[id]&page=[n],5.000000,0.000000,37,92,120,120,160,330,330,330,330,330,330,40,0,49,146.4862384499611,13.109666000673315,541.1597919992346,119473.575
1771801913,40,GET,/tools.descartes.teastore.webui/home,4.500000,0.000000,27,97,230,280,280,280,280,280,280,280,280,18,0,27,109.6420116662355,7.214417000795947,321.382750000339,8905.0
1771801913,40,GET,/tools.descartes.teastore.webui/product?id=[id],4.500000,0.000000,110,230,230,230,380,390,390,390,390,390,390,30,0,120.0,192.7389888001926,23.081625000486383,570.4381660034414,132055.96666666667
1771801913,40,,Aggregated,14.000000,0.000000,45,120,160,230,280,380,390,390,390,390,390,88,0,91,154.71790240905068,7.214417000795947,570.4381660034414,101146.72727272728
1771801914,50,GET,/tools.descartes.teastore.webui/category?category=[id]&page=[n],7.000000,0.000000,49,120,120,160,750,930,980,980,980,980,980,44,0,91,214.46195259076458,13.109666000673315,978.9707499985525,118058.61363636363
1771801914,50,GET,/tools.descartes.teastore.webui/home,4.333333,0.000000,30,230,280,280,510,630,660,660,660,660,660,26,0,30,172.8790337688574,7.214417000795947,656.1532499981695,8905.0
1771801914,50,GET,/tools.descartes.teastore.webui/product?id=[id],6.000000,0.000000,110,230,230,230,380,390,390,390,390,390,390,30,0,120.0,192.7389888001926,23.081625000486383,570.4381660034414,132055.96666666667
1771801914,50,,Aggregated,17.333333,0.000000,73,120,230,280,390,660,930,980,980,980,980,100,0,97,197.13350455989712,7.214417000795947,978.9707499985525,93877.88
1771801915,50,GET,/tools.descartes.teastore.webui/category?category=[id]&page=[n],9.750000,0.000000,92,140,330,920,1300,1800,1900,1900,1900,1900,1900,50,0,100.0,385.6036832998507,13.109666000673315,1923.5941670012835,121130.84
